time (min),raw light scattering data: detector voltage  (V) detector 1,raw light scattering data: detector voltage  (V) detector 2,raw light scattering data: detector voltage  (V) detector 3,raw light scattering data: detector voltage  (V) detector 4,raw light scattering data: detector voltage  (V) detector 5,raw light scattering data: detector voltage  (V) detector 6,raw light scattering data: detector voltage  (V) detector 7,raw light scattering data: detector voltage  (V) detector 8,raw UV absorbance data: detector voltage  (V) channel 1,raw refractive index data: detector voltage  (V)
0,0.8835791554733818,0.1225719737333535,0.1519483257131129,-0.5343149969198733,0.05754818611982381,0.08647355932778907,0.1948864149978414,0.1744921276932661,0.0502085110589099,0.00765368241338078
0.008189784694593963,0.8922169404569944,0.1243078901231699,0.1525826764757327,-0.5343162639611676,0.05765391628446475,0.08660704850932396,0.1949990642058229,0.1745135479904202,0.05021294581461095,0.007658799496318498
0.01637956938918793,0.8791946259875274,0.1226359757734108,0.1515424035345774,-0.5343175854927186,0.05754111200096509,0.08641591669219487,0.1946535876903523,0.174820758742212,0.05025348082054878,0.007659636240656536
0.02456935408378189,0.8715676553111817,0.1216242970277982,0.1506615644333655,-0.5343177472569072,0.05739180496777492,0.08618586311749855,0.1943463093079716,0.1748673870735599,0.05026042771420489,0.00765964323515165
0.03275913877837585,0.8744494789082358,0.1219851895694231,0.1510614527455576,-0.5343178810372548,0.05742154978533261,0.08630405998158668,0.1945812594664046,0.1748117133011559,0.05023103148323675,0.007659840112920298
0.04094892347296981,0.8926519700316713,0.1239387826877544,0.152842872711831,-0.5343180929520673,0.05761941750318733,0.08652509452300325,0.1948844471994286,0.1751208812154411,0.0502044115695133,0.007654717312175973
0.04913870816756377,0.8774287855013511,0.1222263194167036,0.151093987786128,-0.5343172282952995,0.05749112942369868,0.08637482139320427,0.1947378758144761,0.1754243588069706,0.05022501146097929,0.00765890671802695
0.05732849286215774,0.8736588470914106,0.1220226156054259,0.1509212636634729,-0.5343174852695444,0.05746763966118506,0.08637577210926023,0.1946402506920542,0.1749736802655814,0.05025508935140284,0.007660720814750098
0.0655182775567517,0.8858874750838602,0.1227195576838199,0.15180752589858,-0.534317118132337,0.0575190175836409,0.08641406336101902,0.1945689267874972,0.1748179412168127,0.0502272771514156,0.007656399894190429
0.07370806225134566,0.8713132719678253,0.1216854189692745,0.1505988594440477,-0.5343173488912033,0.057405538402424,0.08620265857491304,0.1946090252186401,0.1747698444297519,0.05020230718659403,0.007656560033478054
0.08189784694593963,0.8711997692890182,0.1217155948992048,0.1509999249745232,-0.534317843447772,0.05742226617206127,0.0861871679110066,0.1946436748887869,0.1748785812625458,0.0502061143355805,0.007657350339542682
0.09008763164053359,0.8944549709516069,0.1255857803810079,0.1546633664775725,-0.5343159679206915,0.05759076215615113,0.08644560961122674,0.1947475838415975,0.1749658111327827,0.05023768772499396,0.007658047333060143
0.09827741633512754,0.8949564786506891,0.1248357214312293,0.1544980740638438,-0.5343164299852878,0.05773050968150322,0.08668182732962461,0.1950626075702696,0.1750531509847282,0.0502435397512378,0.007658545370297391
0.1064672010297215,0.8813957547771775,0.1230796427695639,0.1524293332474638,-0.5343154175374666,0.05748936118114897,0.08637828197893226,0.1948564379777658,0.1750788980549753,0.05021377583596835,0.007658156007114813
0.1146569857243155,0.8777716365709875,0.1231309885761199,0.1515902148684528,-0.5343134770799015,0.05741082978732182,0.08629789691689924,0.1948597593539472,0.1750050818674853,0.05019582958208653,0.00765962923888444
0.1228467704189094,0.8732221060030727,0.1226425736770036,0.1508418664899656,-0.534314569274423,0.05738321410327956,0.08625795697354081,0.1945861652718001,0.1746388507730785,0.0502190691127434,0.007661515508793186
0.1310365551135034,0.8680735370178359,0.1216597300642848,0.1502617779004647,-0.5343145469570352,0.05734504220821498,0.08622928403933014,0.1943998991589517,0.1742099328786816,0.05025198622119345,0.007659360919277297
0.1392263398080974,0.8700326599653739,0.1217211885289811,0.1505213532788543,-0.5343134064571344,0.05735876185167815,0.086254397102316,0.1945175093673713,0.1742076269236015,0.05022268397664381,0.007655700334275548
0.1474161245026913,0.8718006175686602,0.1218907401278497,0.1508911081932774,-0.5343152283925934,0.05738731805718786,0.08629715313942894,0.1946532924454376,0.174374410851749,0.05020022726140107,0.007656061596955655
0.1556059091972853,0.8752597806842631,0.122246656253047,0.1511943348867287,-0.5343156411706806,0.05744120670077314,0.08634379674030521,0.1947055556845717,0.1744452287125715,0.05022044372381312,0.007656261794614302
0.1637956938918793,0.8775830730663807,0.1223897214089368,0.151178901432013,-0.5343139066137115,0.05744347586307343,0.08635456381256192,0.1946638811604081,0.1745813897316317,0.0502601411480802,0.007656165135444629
0.1719854785864732,0.8793463234519992,0.1223225380903769,0.1510443997552653,-0.5343145028742663,0.05743205672494259,0.0863662720496063,0.1947149094841053,0.1747489623594376,0.05027025150594562,0.007655867925528936
0.1801752632810672,0.8850400334638299,0.1228843832807326,0.1513490665146785,-0.5343167337813569,0.05743599901956642,0.08638240634970584,0.194810201611711,0.1747757353475079,0.05023334143951409,0.007654585724030175
0.1883650479756611,0.914938493404481,0.1265842091808392,0.1549599245815971,-0.5343182887960333,0.05770430902092902,0.08652554248491393,0.1949814264844023,0.1749509917529312,0.05021482347407563,0.007654672696701799
0.1965548326702551,0.9351893192967929,0.1285968288750115,0.1564883433941968,-0.5343172580931617,0.05791950606883441,0.08672019932785534,0.1952071843758926,0.1749397321747621,0.05024217535705278,0.007657531347770011
