delta X,delta width (geo),delta volume (geo)
1.100000000000000e-01,8.579637221951786e-02,1.789537619250658e-01
1.200000000000000e-01,9.359209065185681e-02,1.959436607362988e-01
1.300000000000000e-01,1.013895205401922e-01,2.130588759557543e-01
1.400000000000000e-01,1.091886168462093e-01,2.302993877412065e-01
1.500000000000000e-01,1.169893360981409e-01,2.476651769569655e-01
1.600000000000000e-01,1.247916363232495e-01,2.651562251427331e-01
1.700000000000000e-01,1.325954769837610e-01,2.827725144840727e-01
1.800000000000000e-01,1.404008189160622e-01,3.005140277844254e-01
1.900000000000000e-01,1.482076242729666e-01,3.183807484385699e-01
2.000000000000000e-01,1.560158564688578e-01,3.363726604074269e-01
2.100000000000000e-01,1.638254801275638e-01,3.544897481941542e-01
2.200000000000000e-01,1.716364610327852e-01,3.727319968214291e-01
2.300000000000000e-01,1.794487660809485e-01,3.910993918098722e-01
2.400000000000000e-01,1.872623632363377e-01,4.095919191575332e-01
2.500000000000000e-01,1.950772214883787e-01,4.282095653203830e-01
2.600000000000000e-01,2.028933108109616e-01,4.469523171937566e-01
2.700000000000000e-01,2.107106021236798e-01,4.658201620946829e-01
2.800000000000000e-01,2.185290672548881e-01,4.848130877450676e-01
2.900000000000000e-01,2.263486789064841e-01,5.039310822556786e-01
3.000000000000000e-01,2.341694106203038e-01,5.231741341108680e-01
3.100000000000000e-01,2.419912367460675e-01,5.425422321540261e-01
3.200000000000000e-01,2.498141324107765e-01,5.620353655737023e-01
3.300000000000000e-01,2.576380734894927e-01,5.816535238903626e-01
3.400000000000000e-01,2.654630365774240e-01,6.013966969437547e-01
3.500000000000000e-01,2.732889989632548e-01,6.212648748808474e-01
3.600000000000000e-01,2.811159386036493e-01,6.412580481443086e-01
3.700000000000000e-01,2.889438340988724e-01,6.613762074615013e-01
3.800000000000000e-01,2.967726646694711e-01,6.816193438339604e-01
3.900000000000000e-01,3.046024101339626e-01,7.019874485273441e-01
4.000000000000000e-01,3.124330508874782e-01,7.224805130618139e-01
4.100000000000000e-01,3.202645678813152e-01,7.430985292028358e-01
4.200000000000000e-01,3.280969426033533e-01,7.638414889523741e-01
4.300000000000000e-01,3.359301570592954e-01,7.847093845404738e-01
4.400000000000000e-01,3.437641937546854e-01,8.057022084171797e-01
4.500000000000000e-01,3.515990356776708e-01,8.268199532448093e-01
4.600000000000000e-01,3.594346662824814e-01,8.480626118905619e-01
4.700000000000000e-01,3.672710694735686e-01,8.694301774193960e-01
4.800000000000000e-01,3.751082295904000e-01,8.909226430872441e-01
4.900000000000000e-01,3.829461313928599e-01,9.125400023344774e-01
5.000000000000000e-01,3.907847600472361e-01,9.342822487796478e-01
