delta X,delta width (hydro),delta volume (hydro)
2.400000000000000e-01,9.672505622477345e-02,9.672505622477345e-02
2.500000000000000e-01,1.006716670975847e-01,1.006716670975847e-01
2.600000000000000e-01,1.046120892202744e-01,1.046120892202747e-01
2.700000000000000e-01,1.085463745167039e-01,1.085463745167039e-01
2.800000000000000e-01,1.124745741655775e-01,1.124745741655775e-01
2.900000000000000e-01,1.163967386154356e-01,1.163967386154356e-01
3.000000000000000e-01,1.203129175993398e-01,1.203129175993398e-01
3.100000000000000e-01,1.242231601490797e-01,1.242231601490797e-01
3.200000000000000e-01,1.281275146091172e-01,1.281275146091172e-01
3.300000000000000e-01,1.320260286500878e-01,1.320260286500881e-01
3.400000000000000e-01,1.359187492820251e-01,1.359187492820251e-01
3.500000000000000e-01,1.398057228672209e-01,1.398057228672209e-01
3.600000000000000e-01,1.436869951327679e-01,1.436869951327679e-01
3.700000000000000e-01,1.475626111827959e-01,1.475626111827959e-01
3.800000000000000e-01,1.514326155103982e-01,1.514326155103982e-01
3.900000000000000e-01,1.552970520092880e-01,1.552970520092880e-01
4.000000000000000e-01,1.591559639851223e-01,1.591559639851223e-01
4.100000000000000e-01,1.630093941666042e-01,1.630093941666042e-01
4.200000000000000e-01,1.668573847162753e-01,1.668573847162753e-01
4.300000000000000e-01,1.706999772410771e-01,1.706999772410773e-01
4.400000000000000e-01,1.745372128026412e-01,1.745372128026412e-01
4.500000000000000e-01,1.783691319273426e-01,1.783691319273426e-01
4.600000000000000e-01,1.821957746161127e-01,1.821957746161127e-01
4.700000000000000e-01,1.860171803540154e-01,1.860171803540156e-01
4.800000000000000e-01,1.898333881196239e-01,1.898333881196239e-01
4.900000000000000e-01,1.936444363941445e-01,1.936444363941445e-01
5.000000000000000e-01,1.974503631703444e-01,1.974503631703444e-01
