delta X,delta width (tvoidFree),delta volume (tvoidFree)
-2.300000000000000e-01,-1.214248503261701e-01,-1.214248503261701e-01
-2.200000000000000e-01,-1.159470375295009e-01,-1.159470375295010e-01
-2.100000000000000e-01,-1.104692247328316e-01,-1.104692247328316e-01
-2.000000000000000e-01,-1.049914119361622e-01,-1.049914119361622e-01
-1.900000000000000e-01,-9.951359913949287e-02,-9.951359913949287e-02
-1.800000000000000e-01,-9.403578634282350e-02,-9.403578634282350e-02
-1.700000000000000e-01,-8.855797354615413e-02,-8.855797354615413e-02
-1.600000000000000e-01,-8.308016074948477e-02,-8.308016074948477e-02
-1.500000000000000e-01,-7.760234795281540e-02,-7.760234795281540e-02
-1.400000000000000e-01,-7.212453515614614e-02,-7.212453515614614e-02
-1.300000000000000e-01,-6.664672235947688e-02,-6.664672235947688e-02
-1.200000000000000e-01,-6.116890956280763e-02,-6.116890956280774e-02
-1.100000000000000e-01,-5.569109676613815e-02,-5.569109676613815e-02
-1.000000000000000e-01,-5.021328396946867e-02,-5.021328396946867e-02
-9.000000000000000e-02,-4.564843997224410e-02,-4.564843997224410e-02
-8.000000000000000e-02,-4.108359597501998e-02,-4.108359597501998e-02
-7.000000000000001e-02,-3.560578317835050e-02,-3.560578317835050e-02
-6.000000000000000e-02,-3.012797038168102e-02,-3.012797038168102e-02
-5.000000000000000e-02,-2.465015758501199e-02,-2.465015758501210e-02
-4.000000000000000e-02,-2.008531358778742e-02,-2.008531358778742e-02
-3.000000000000000e-02,-1.552046959056286e-02,-1.552046959056286e-02
-2.000000000000000e-02,-1.004265679389382e-02,-1.004265679389382e-02
-1.000000000000000e-02,-4.564843997224344e-03,-4.564843997224344e-03
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000000e-02,4.564843997224344e-03,4.564843997224344e-03
2.000000000000000e-02,1.004265679389382e-02,1.004265679389382e-02
3.000000000000000e-02,1.460750079111817e-02,1.460750079111817e-02
4.000000000000000e-02,1.917234478834251e-02,1.917234478834251e-02
5.000000000000000e-02,2.465015758501199e-02,2.465015758501199e-02
6.000000000000000e-02,2.921500158223633e-02,2.921500158223633e-02
7.000000000000001e-02,3.377984557946068e-02,3.377984557946068e-02
8.000000000000000e-02,3.925765837613016e-02,3.925765837613016e-02
9.000000000000000e-02,4.290953357390981e-02,4.290953357390981e-02
1.000000000000000e-01,4.838734637057884e-02,4.838734637057884e-02
1.100000000000000e-01,5.295219036780341e-02,5.295219036780341e-02
1.200000000000000e-01,5.751703436502797e-02,5.751703436502797e-02
1.300000000000000e-01,6.299484716169701e-02,6.299484716169701e-02
1.400000000000000e-01,6.664672235947666e-02,6.664672235947666e-02
1.500000000000000e-01,7.212453515614614e-02,7.212453515614614e-02
1.600000000000000e-01,7.577641035392535e-02,7.577641035392535e-02
1.700000000000000e-01,8.125422315059483e-02,8.125422315059483e-02
1.800000000000000e-01,8.490609834837448e-02,8.490609834837448e-02
1.900000000000000e-01,9.038391114504352e-02,9.038391114504352e-02
2.000000000000000e-01,9.403578634282317e-02,9.403578634282317e-02
2.100000000000000e-01,9.951359913949265e-02,9.951359913949265e-02
2.200000000000000e-01,1.031654743372723e-01,1.031654743372723e-01
2.300000000000000e-01,1.077303183344969e-01,1.077303183344969e-01
2.400000000000000e-01,1.122951623317210e-01,1.122951623317210e-01
2.500000000000000e-01,1.159470375295006e-01,1.159470375295006e-01
2.600000000000000e-01,1.214248503261701e-01,1.214248503261701e-01
2.700000000000000e-01,1.250767255239498e-01,1.250767255239498e-01
2.800000000000000e-01,1.305545383206193e-01,1.305545383206193e-01
2.900000000000000e-01,1.342064135183985e-01,1.342064135183985e-01
3.000000000000000e-01,1.378582887161781e-01,1.378582887161781e-01
3.100000000000000e-01,1.433361015128476e-01,1.433361015128476e-01
3.200000000000000e-01,1.469879767106270e-01,1.469879767106270e-01
3.300000000000000e-01,1.506398519084065e-01,1.506398519084065e-01
