delta X,delta width (tvoidFree),delta volume (tvoidFree)
7.000000000000001e-02,-9.129687994446911e-04,6.201595189879860e-02
8.000000000000000e-02,-9.129687994446911e-04,7.100579771283333e-02
9.000000000000000e-02,-9.129687994446911e-04,7.999564352686805e-02
1.000000000000000e-01,-9.129687994446911e-04,8.898548934090278e-02
1.100000000000000e-01,-9.129687994446911e-04,9.797533515493750e-02
1.200000000000000e-01,-9.129687994446911e-04,1.069651809689722e-01
1.300000000000000e-01,-9.129687994446911e-04,1.159550267830067e-01
1.400000000000000e-01,-9.129687994434699e-04,1.249448725970430e-01
1.500000000000000e-01,-9.129687994434699e-04,1.339347184110777e-01
1.600000000000000e-01,-9.129687994434699e-04,1.429245642251125e-01
1.700000000000000e-01,-9.129687994434699e-04,1.519144100391472e-01
1.800000000000000e-01,-9.129687994434699e-04,1.609042558531821e-01
1.900000000000000e-01,-9.129687994434699e-04,1.698941016672169e-01
2.000000000000000e-01,-9.129687994434699e-04,1.788839474812516e-01
2.100000000000000e-01,-9.129687994434699e-04,1.878737932952863e-01
2.200000000000000e-01,-9.129687994434699e-04,1.968636391093213e-01
2.300000000000000e-01,-9.129687994434699e-04,2.058534849233558e-01
2.400000000000000e-01,-1.825937598888383e-03,2.137332031683796e-01
2.500000000000000e-01,-1.825937598888383e-03,2.227148340336826e-01
2.600000000000000e-01,-1.825937598888383e-03,2.316964648989852e-01
2.700000000000000e-01,-1.825937598888383e-03,2.406780957642880e-01
2.800000000000000e-01,-1.825937598888383e-03,2.496597266295912e-01
2.900000000000000e-01,-1.825937598888383e-03,2.586413574948940e-01
3.000000000000000e-01,-2.738906398333296e-03,2.664635710987944e-01
3.100000000000000e-01,-2.738906398333296e-03,2.754369870153652e-01
3.200000000000000e-01,-2.738906398333296e-03,2.844104029319363e-01
3.300000000000000e-01,-2.738906398333296e-03,2.933838188485069e-01
3.400000000000000e-01,-2.738906398333296e-03,3.023572347650783e-01
3.500000000000000e-01,-2.738906398333296e-03,3.113306506816491e-01
3.600000000000000e-01,-2.738906398333296e-03,3.203040665982195e-01
3.700000000000000e-01,-2.738906398333296e-03,3.292774825147911e-01
3.800000000000000e-01,-2.738906398333296e-03,3.382508984313617e-01
3.900000000000000e-01,-2.738906398333296e-03,3.472243143479328e-01
4.000000000000000e-01,-2.738906398333296e-03,3.561977302645036e-01
4.100000000000000e-01,-2.738906398333296e-03,3.651711461810747e-01
4.200000000000000e-01,-2.738906398333296e-03,3.741445620976454e-01
4.300000000000000e-01,-2.738906398333296e-03,3.831179780142164e-01
4.400000000000000e-01,-2.738906398333296e-03,3.920913939307873e-01
4.500000000000000e-01,-2.738906398333296e-03,4.010648098473584e-01
4.600000000000000e-01,-2.738906398333296e-03,4.100382257639290e-01
4.700000000000000e-01,-3.651875197778209e-03,4.177125702906552e-01
4.800000000000000e-01,-3.651875197778209e-03,4.266777712584944e-01
4.900000000000000e-01,-3.651875197778209e-03,4.356429722263331e-01
5.000000000000000e-01,-3.651875197778209e-03,4.446081731941722e-01
