delta X,delta width (geo),delta volume (geo)
-1.900000000000000e-01,2.419693039761508e-01,2.419693039761508e-01
-1.800000000000000e-01,2.264407686762440e-01,2.264407686762440e-01
-1.700000000000000e-01,2.112861729654596e-01,2.112861729654598e-01
-1.600000000000000e-01,1.964921613986317e-01,1.964921613986317e-01
-1.500000000000000e-01,1.820460070206731e-01,1.820460070206731e-01
-1.400000000000000e-01,1.679355748264491e-01,1.679355748264491e-01
-1.300000000000000e-01,1.541492877406565e-01,1.541492877406565e-01
-1.200000000000000e-01,1.406760949172601e-01,1.406760949172601e-01
-1.100000000000000e-01,1.275054421760444e-01,1.275054421760444e-01
-1.000000000000000e-01,1.146272444100616e-01,1.146272444100616e-01
-9.000000000000000e-02,1.020318598123680e-01,1.020318598123680e-01
-8.000000000000000e-02,8.971006578362695e-02,8.971006578362695e-02
-7.000000000000001e-02,7.765303639405885e-02,7.765303639405863e-02
-6.000000000000000e-02,6.585232128399077e-02,6.585232128399077e-02
-5.000000000000000e-02,5.429982589700355e-02,5.429982589700355e-02
-4.000000000000000e-02,4.298779294850275e-02,4.298779294850252e-02
-3.000000000000000e-02,3.190878504057082e-02,3.190878504057060e-02
-2.000000000000000e-02,2.105566834120998e-02,2.105566834120998e-02
-1.000000000000000e-02,1.042159725272418e-02,1.042159725272418e-02
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000000e-02,-1.021543492507593e-02,-1.021543492507582e-02
2.000000000000000e-02,-2.023077152180763e-02,-2.023077152180763e-02
3.000000000000000e-02,-3.005183829568636e-02,-3.005183829568625e-02
4.000000000000000e-02,-3.968423958021372e-02,-3.968423958021372e-02
5.000000000000000e-02,-4.913336621176678e-02,-4.913336621176678e-02
6.000000000000000e-02,-5.840440560022042e-02,-5.840440560022053e-02
7.000000000000001e-02,-6.750235123486581e-02,-6.750235123486581e-02
8.000000000000000e-02,-7.643201166222091e-02,-7.643201166222091e-02
9.000000000000000e-02,-8.519801896965062e-02,-8.519801896965062e-02
1.000000000000000e-01,-9.380483680624097e-02,-9.380483680624097e-02
1.100000000000000e-01,-1.022567679701165e-01,-1.022567679701164e-01
1.200000000000000e-01,-1.105579615892933e-01,-1.105579615892933e-01
1.300000000000000e-01,-1.187124199212446e-01,-1.187124199212447e-01
1.400000000000000e-01,-1.267240047945998e-01,-1.267240047945999e-01
1.500000000000000e-01,-1.345964437147493e-01,-1.345964437147492e-01
1.600000000000000e-01,-1.423333356536483e-01,-1.423333356536483e-01
1.700000000000000e-01,-1.499381565427005e-01,-1.499381565427005e-01
1.800000000000000e-01,-1.574142644863509e-01,-1.574142644863508e-01
1.900000000000000e-01,-1.647649047127997e-01,-1.647649047127997e-01
2.000000000000000e-01,-1.719932142771879e-01,-1.719932142771878e-01
2.100000000000000e-01,-1.791022265315626e-01,-1.791022265315626e-01
2.200000000000000e-01,-1.860948753750105e-01,-1.860948753750105e-01
2.300000000000000e-01,-1.929739992964659e-01,-1.929739992964659e-01
2.400000000000000e-01,-1.997423452218995e-01,-1.997423452218996e-01
2.500000000000000e-01,-2.064025721768449e-01,-2.064025721768450e-01
2.600000000000000e-01,-2.129572547745138e-01,-2.129572547745138e-01
2.700000000000000e-01,-2.194088865391230e-01,-2.194088865391232e-01
2.800000000000000e-01,-2.257598830734392e-01,-2.257598830734392e-01
2.900000000000000e-01,-2.320125850789946e-01,-2.320125850789946e-01
3.000000000000000e-01,-2.381692612369097e-01,-2.381692612369097e-01
3.100000000000000e-01,-2.442321109567704e-01,-2.442321109567706e-01
3.200000000000000e-01,-2.502032670005544e-01,-2.502032670005545e-01
3.300000000000000e-01,-2.560847979881848e-01,-2.560847979881848e-01
3.400000000000000e-01,-2.618787107908987e-01,-2.618787107908987e-01
3.500000000000000e-01,-2.675869528182393e-01,-2.675869528182393e-01
3.600000000000000e-01,-2.732114142041525e-01,-2.732114142041525e-01
3.700000000000000e-01,-2.787539298973449e-01,-2.787539298973449e-01
3.800000000000000e-01,-2.842162816607521e-01,-2.842162816607521e-01
3.900000000000000e-01,-2.896001999847028e-01,-2.896001999847029e-01
4.000000000000000e-01,-2.949073659180889e-01,-2.949073659180889e-01
