delta X,delta width (hydro),delta volume (hydro)
3.500000000000000e-01,-2.226723279369353e-01,1.791234522647600e-02
3.600000000000000e-01,-2.285449788232100e-01,1.704401201657579e-02
3.700000000000000e-01,-2.334143178485516e-01,1.740339959021941e-02
3.800000000000000e-01,-2.382229625219923e-01,1.775775833293203e-02
3.900000000000000e-01,-2.420548298593277e-01,1.934071453204345e-02
4.000000000000000e-01,-2.467511037117309e-01,1.968573924168981e-02
4.100000000000000e-01,-2.513899034035900e-01,2.002601836693008e-02
4.200000000000000e-01,-2.568726625506187e-01,1.912684811836396e-02
4.300000000000000e-01,-2.613941524896878e-01,1.945749827919752e-02
4.400000000000000e-01,-2.658612939936732e-01,1.978367686562121e-02
4.500000000000000e-01,-2.702750578184039e-01,2.010546862438289e-02
4.600000000000000e-01,-2.737575001496576e-01,2.164981773124253e-02
4.700000000000000e-01,-2.780725464465857e-01,2.196340862576895e-02
4.800000000000000e-01,-2.823369317009939e-01,2.227284893118231e-02
4.900000000000000e-01,-2.874130833302705e-01,2.134337441347167e-02
5.000000000000000e-01,-2.915718293661169e-01,2.164714507084753e-02
