delta X,delta width (geo),delta volume (geo)
-2.200000000000000e-01,-2.270504267669009e-01,-2.270504267669009e-01
-2.100000000000000e-01,-2.167262769791367e-01,-2.167262769791368e-01
-2.000000000000000e-01,-2.064025721768449e-01,-2.064025721768450e-01
-1.900000000000000e-01,-1.960792945016381e-01,-1.960792945016381e-01
-1.800000000000000e-01,-1.857564270394784e-01,-1.857564270394783e-01
-1.700000000000000e-01,-1.754339537589842e-01,-1.754339537589842e-01
-1.600000000000000e-01,-1.651118594545171e-01,-1.651118594545171e-01
-1.500000000000000e-01,-1.547901296936228e-01,-1.547901296936228e-01
-1.400000000000000e-01,-1.444687507684408e-01,-1.444687507684408e-01
-1.300000000000000e-01,-1.341477096507387e-01,-1.341477096507387e-01
-1.200000000000000e-01,-1.238269939502553e-01,-1.238269939502553e-01
-1.100000000000000e-01,-1.135065918760766e-01,-1.135065918760766e-01
-1.000000000000000e-01,-1.031864922007873e-01,-1.031864922007872e-01
-9.000000000000000e-02,-9.286668422716671e-02,-9.286668422716682e-02
-8.000000000000000e-02,-8.254715775722188e-02,-8.254715775722188e-02
-7.000000000000001e-02,-7.222790306337035e-02,-7.222790306337035e-02
-6.000000000000000e-02,-6.190891086159511e-02,-6.190891086159511e-02
-5.000000000000000e-02,-5.159017228642149e-02,-5.159017228642160e-02
-4.000000000000000e-02,-4.127167886757022e-02,-4.127167886757022e-02
-3.000000000000000e-02,-3.095342250815813e-02,-3.095342250815813e-02
-2.000000000000000e-02,-2.063539546432547e-02,-2.063539546432547e-02
-1.000000000000000e-02,-1.031759032618651e-02,-1.031759032618651e-02
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000000e-02,1.031738230852985e-02,1.031738230852985e-02
2.000000000000000e-02,2.063456310989986e-02,2.063456310990008e-02
3.000000000000000e-02,3.095154864548944e-02,3.095154864548944e-02
4.000000000000000e-02,4.126834490133335e-02,4.126834490133335e-02
5.000000000000000e-02,5.158495762105852e-02,5.158495762105852e-02
6.000000000000000e-02,6.190139231804226e-02,6.190139231804226e-02
7.000000000000001e-02,7.221765428684623e-02,7.221765428684623e-02
8.000000000000000e-02,8.253374861397078e-02,8.253374861397056e-02
9.000000000000000e-02,9.284968018798745e-02,9.284968018798745e-02
1.000000000000000e-01,1.031654537090771e-01,1.031654537090771e-01
1.100000000000000e-01,1.134810736980287e-01,1.134810736980287e-01
1.200000000000000e-01,1.237965445047207e-01,1.237965445047207e-01
1.300000000000000e-01,1.341118703161288e-01,1.341118703161288e-01
1.400000000000000e-01,1.444270551638880e-01,1.444270551638880e-01
1.500000000000000e-01,1.547421029314313e-01,1.547421029314313e-01
1.600000000000000e-01,1.650570173607477e-01,1.650570173607477e-01
1.700000000000000e-01,1.753718020587645e-01,1.753718020587645e-01
1.800000000000000e-01,1.856864605033901e-01,1.856864605033901e-01
1.900000000000000e-01,1.960009960492384e-01,1.960009960492384e-01
2.000000000000000e-01,2.063154119330433e-01,2.063154119330435e-01
2.100000000000000e-01,2.166297112788003e-01,2.166297112788003e-01
2.200000000000000e-01,2.269438971026307e-01,2.269438971026307e-01
2.300000000000000e-01,2.372579723174026e-01,2.372579723174024e-01
2.400000000000000e-01,2.475719397371152e-01,2.475719397371152e-01
2.500000000000000e-01,2.578858020810615e-01,2.578858020810615e-01
2.600000000000000e-01,2.681995619777771e-01,2.681995619777768e-01
2.700000000000000e-01,2.785132219688022e-01,2.785132219688022e-01
2.800000000000000e-01,2.888267845122519e-01,2.888267845122519e-01
2.900000000000000e-01,2.991402519862116e-01,2.991402519862116e-01
3.000000000000000e-01,3.094536266919696e-01,3.094536266919696e-01
3.100000000000000e-01,3.197669108570984e-01,3.197669108570984e-01
3.200000000000000e-01,3.300801066383761e-01,3.300801066383761e-01
3.300000000000000e-01,3.403932161245857e-01,3.403932161245857e-01
3.400000000000000e-01,3.507062413391722e-01,3.507062413391722e-01
3.500000000000000e-01,3.610191842427772e-01,3.610191842427772e-01
3.600000000000000e-01,3.713320467356609e-01,3.713320467356609e-01
3.700000000000000e-01,3.816448306600078e-01,3.816448306600078e-01
3.800000000000000e-01,3.919575378021294e-01,3.919575378021294e-01
3.900000000000000e-01,4.022701698945716e-01,4.022701698945716e-01
4.000000000000000e-01,4.125827286181156e-01,4.125827286181156e-01
4.100000000000000e-01,4.228952156037058e-01,4.228952156037056e-01
4.200000000000000e-01,4.332076324342777e-01,4.332076324342777e-01
4.300000000000000e-01,4.435199806465187e-01,4.435199806465187e-01
4.400000000000000e-01,4.538322617325390e-01,4.538322617325390e-01
4.500000000000000e-01,4.641444771414820e-01,4.641444771414820e-01
4.600000000000000e-01,4.744566282810576e-01,4.744566282810576e-01
4.700000000000000e-01,4.847687165190151e-01,4.847687165190151e-01
4.800000000000000e-01,4.950807431845499e-01,4.950807431845499e-01
4.900000000000000e-01,5.053927095696542e-01,5.053927095696542e-01
5.000000000000000e-01,5.157046169304103e-01,5.157046169304103e-01
