delta X,delta width (tvoidFree),delta volume (tvoidFree)
2.000000000000000e-02,9.129687994449132e-04,1.861495899101184e-02
3.000000000000000e-02,9.129687994449132e-04,2.746595408679475e-02
4.000000000000000e-02,9.129687994449132e-04,3.631694918257788e-02
5.000000000000000e-02,9.129687994449132e-04,4.516794427836013e-02
6.000000000000000e-02,9.129687994449132e-04,5.401893937414415e-02
7.000000000000001e-02,9.129687994449132e-04,6.286993446992772e-02
8.000000000000000e-02,2.738906398334517e-03,7.366830916517686e-02
9.000000000000000e-02,9.129687994449132e-04,8.056408323574349e-02
1.000000000000000e-01,2.738906398334517e-03,9.140234211657949e-02
1.100000000000000e-01,2.738906398334517e-03,1.002693570947211e-01
1.200000000000000e-01,2.738906398334517e-03,1.091363710744868e-01
1.300000000000000e-01,2.738906398334517e-03,1.180033840558790e-01
1.400000000000000e-01,2.738906398334517e-03,1.268703960388944e-01
1.500000000000000e-01,2.738906398334517e-03,1.357374070235380e-01
1.600000000000000e-01,2.738906398336294e-03,1.446044170098073e-01
1.700000000000000e-01,2.738906398336294e-03,1.534714259977015e-01
1.800000000000000e-01,3.651875197781207e-03,1.633967141814510e-01
1.900000000000000e-01,2.738906398336294e-03,1.712054409783639e-01
2.000000000000000e-01,4.564843997226120e-03,1.822306108476741e-01
2.100000000000000e-01,4.564843997226120e-03,1.911138991901953e-01
2.200000000000000e-01,4.564843997226120e-03,1.999971875327184e-01
2.300000000000000e-01,3.651875197781207e-03,2.077818209070450e-01
2.400000000000000e-01,4.564843997226120e-03,2.177637642177634e-01
2.500000000000000e-01,4.564843997226120e-03,2.266470525602855e-01
2.600000000000000e-01,4.564843997226120e-03,2.355303409028069e-01
2.700000000000000e-01,4.564843997226120e-03,2.444136292453301e-01
2.800000000000000e-01,4.564843997226120e-03,2.532969175878530e-01
2.900000000000000e-01,4.564843997226120e-03,2.621802059303751e-01
3.000000000000000e-01,4.564843997226120e-03,2.710634942728978e-01
3.100000000000000e-01,4.564843997226120e-03,2.799467826154201e-01
3.200000000000000e-01,4.564843997226120e-03,2.888300709579408e-01
3.300000000000000e-01,5.477812796671033e-03,2.988815678272514e-01
3.400000000000000e-01,5.477812796671033e-03,3.077841090397155e-01
