delta X,delta width (hydro),delta volume (hydro)
2.400000000000000e-01,3.642924844734363e-02,3.642924844734341e-02
2.500000000000000e-01,3.774529338207677e-02,3.774529338207655e-02
2.600000000000000e-01,4.038899208594304e-02,4.038899208594304e-02
2.700000000000000e-01,4.171667841776561e-02,4.171667841776561e-02
2.800000000000000e-01,4.304827792417587e-02,4.304827792417565e-02
2.900000000000000e-01,4.438380710668288e-02,4.438380710668288e-02
3.000000000000000e-01,4.572328255589819e-02,4.572328255589819e-02
3.100000000000000e-01,4.841413906592584e-02,4.841413906592607e-02
3.200000000000000e-01,4.976555375875336e-02,4.976555375875336e-02
3.300000000000000e-01,5.112098198350923e-02,5.112098198350923e-02
3.400000000000000e-01,5.248044078516512e-02,5.248044078516512e-02
3.500000000000000e-01,5.384394730136521e-02,5.384394730136521e-02
3.600000000000000e-01,5.658317249500677e-02,5.658317249500677e-02
3.700000000000000e-01,5.795892591662066e-02,5.795892591662066e-02
3.800000000000000e-01,5.933879654236907e-02,5.933879654236907e-02
3.900000000000000e-01,6.072280198251745e-02,6.072280198251745e-02
4.000000000000000e-01,6.211095994374172e-02,6.211095994374172e-02
4.100000000000000e-01,6.489980474201329e-02,6.489980474201307e-02
4.200000000000000e-01,6.630052748024617e-02,6.630052748024617e-02
4.300000000000000e-01,6.770547454322995e-02,6.770547454322995e-02
4.400000000000000e-01,6.911466412939116e-02,6.911466412939116e-02
4.500000000000000e-01,7.052811453747920e-02,7.052811453747920e-02
4.600000000000000e-01,7.336787152009561e-02,7.336787152009538e-02
4.700000000000000e-01,7.479421519981422e-02,7.479421519981422e-02
4.800000000000000e-01,7.622489391320819e-02,7.622489391320819e-02
4.900000000000000e-01,7.765992647082021e-02,7.765992647081998e-02
5.000000000000000e-01,7.909933178762119e-02,7.909933178762119e-02
