delta X,delta width (geo),delta volume (appGeo)
3.100000000000000e-01,2.201122724735827e-03,4.407090390720736e-03
3.200000000000000e-01,2.259545060597778e-03,4.524195665076114e-03
3.300000000000000e-01,2.317314877869903e-03,4.639999703982989e-03
3.400000000000000e-01,2.374442464330162e-03,4.754522905676462e-03
3.500000000000000e-01,2.430937912459186e-03,4.867785284052628e-03
3.600000000000000e-01,2.486811123170174e-03,4.979806475902571e-03
3.700000000000000e-01,2.542071809502611e-03,5.090605748089505e-03
3.800000000000000e-01,2.596729500280226e-03,5.200202004657761e-03
3.900000000000000e-01,2.650793543729213e-03,5.308613793869377e-03
4.000000000000000e-01,2.704273111048261e-03,5.415859315155647e-03
4.100000000000000e-01,2.757177199937955e-03,5.521956425987851e-03
4.200000000000000e-01,2.809514638076882e-03,5.626922648655386e-03
4.300000000000000e-01,2.861294086548449e-03,5.730775176945979e-03
4.400000000000000e-01,2.912524043215514e-03,5.833530882733307e-03
4.500000000000000e-01,2.963212846044838e-03,5.935206322460695e-03
4.600000000000000e-01,3.013368676371586e-03,6.035817743522909e-03
4.700000000000000e-01,3.062999562112090e-03,6.135381090541348e-03
4.800000000000000e-01,3.112113380919546e-03,6.233912011534670e-03
4.900000000000000e-01,3.160717863285978e-03,6.331425863983275e-03
5.000000000000000e-01,3.208820595583806e-03,6.427937720782095e-03
