delta X,delta width (geo),delta volume (appGeo)
-2.200000000000000e-01,-7.667036251109205e-03,-1.527528905734288e-02
-2.100000000000000e-01,-7.321065703167706e-03,-1.458853340330568e-02
-2.000000000000000e-01,-6.974861588245118e-03,-1.390107448231492e-02
-1.900000000000000e-01,-6.628422789125565e-03,-1.321290958957999e-02
-1.800000000000000e-01,-6.281748187318414e-03,-1.252403601434859e-02
-1.700000000000000e-01,-5.934836663043397e-03,-1.183445103986980e-02
-1.600000000000000e-01,-5.587687095214400e-03,-1.114415194335472e-02
-1.500000000000000e-01,-5.240298361426921e-03,-1.045313599593778e-02
-1.400000000000000e-01,-4.892669337944189e-03,-9.761400462638514e-03
-1.300000000000000e-01,-4.544798899680402e-03,-9.068942602322494e-03
-1.200000000000000e-01,-4.196685920187182e-03,-8.375759667661797e-03
-1.100000000000000e-01,-3.848329271639916e-03,-7.681848905097044e-03
-1.000000000000000e-01,-3.499727824821885e-03,-6.987207554796537e-03
-9.000000000000000e-02,-3.150880449111160e-03,-6.291832850618184e-03
-8.000000000000000e-02,-2.801786012464391e-03,-5.595722020069305e-03
-7.000000000000001e-02,-2.452443381402936e-03,-4.898872284267219e-03
-6.000000000000000e-02,-2.102851420998753e-03,-4.201280857899059e-03
-5.000000000000000e-02,-1.753008994858973e-03,-3.502944949181686e-03
-4.000000000000000e-02,-1.402914965111135e-03,-2.803861759822834e-03
-3.000000000000000e-02,-1.052568192389081e-03,-2.104028484978815e-03
-2.000000000000000e-02,-7.019675358186372e-04,-1.403442313216097e-03
-1.000000000000000e-02,-3.511118530008517e-04,-7.021004264686770e-04
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000000e-02,3.513691686742870e-04,7.028617976410079e-04
2.000000000000000e-02,7.029968000784592e-04,1.406487804657797e-03
3.000000000000000e-02,1.054884042853033e-03,2.110880866049492e-03
4.000000000000000e-02,1.407032047234802e-03,2.816043833651527e-03
5.000000000000000e-02,1.759441965074826e-03,3.521979566178057e-03
6.000000000000000e-02,2.112114949849975e-03,4.228690929260814e-03
7.000000000000001e-02,2.465052156679581e-03,4.936180795493961e-03
8.000000000000000e-02,2.818254742341209e-03,5.644452044474946e-03
9.000000000000000e-02,3.171723865283971e-03,6.353507562845584e-03
1.000000000000000e-01,3.525460685644966e-03,7.063350244335576e-03
1.100000000000000e-01,3.879466365262818e-03,7.773982989804695e-03
1.200000000000000e-01,4.233742067694557e-03,8.485408707284758e-03
1.300000000000000e-01,4.588288958229603e-03,9.197630312023364e-03
1.400000000000000e-01,4.943108203905311e-03,9.910650726525860e-03
1.500000000000000e-01,5.298200973521627e-03,1.062447288059865e-02
1.600000000000000e-01,5.653568437656853e-03,1.133909971139246e-02
1.700000000000000e-01,6.009211768683187e-03,1.205453416344682e-02
1.800000000000000e-01,6.365132140780938e-03,1.277077918873126e-02
1.900000000000000e-01,6.721330729955177e-03,1.348783774669138e-02
2.000000000000000e-01,7.077808714049727e-03,1.420571280429206e-02
2.100000000000000e-01,7.434567272764037e-03,1.492440733606082e-02
2.200000000000000e-01,7.791607587666283e-03,1.564392432413264e-02
2.300000000000000e-01,8.148930842212243e-03,1.636426675829505e-02
2.400000000000000e-01,8.506538221756843e-03,1.708543763603165e-02
2.500000000000000e-01,8.864430913573473e-03,1.780743996256806e-02
2.600000000000000e-01,9.222610106866425e-03,1.853027675091568e-02
2.700000000000000e-01,9.581076992788429e-03,1.925395102191807e-02
2.800000000000000e-01,9.939832764455314e-03,1.997846580429541e-02
2.900000000000000e-01,1.029887861696155e-02,2.070382413468996e-02
3.000000000000000e-01,1.065821574739823e-02,2.143002905771407e-02
3.100000000000000e-01,1.101784535486461e-02,2.215708362599278e-02
3.200000000000000e-01,1.137776864048790e-02,2.288499090021179e-02
3.300000000000000e-01,1.173798680743610e-02,2.361375394916365e-02
3.400000000000000e-01,1.209850106093646e-02,2.434337584979396e-02
3.500000000000000e-01,1.245931260828925e-02,2.507385968724929e-02
3.600000000000000e-01,1.282042265888461e-02,2.580520855492141e-02
3.700000000000000e-01,1.318183242421855e-02,2.653742555449723e-02
3.800000000000000e-01,1.354354311790940e-02,2.727051379600498e-02
3.900000000000000e-01,1.390555595571197e-02,2.800447639786108e-02
4.000000000000000e-01,1.426787215553604e-02,2.873931648691874e-02
4.100000000000000e-01,1.463049293746144e-02,2.947503719851574e-02
4.200000000000000e-01,1.499341952375377e-02,3.021164167652257e-02
4.300000000000000e-01,1.535665313888135e-02,3.094913307338998e-02
4.400000000000000e-01,1.572019500953070e-02,3.168751455019891e-02
4.500000000000000e-01,1.608404636462457e-02,3.242678927670828e-02
4.600000000000000e-01,1.644820843533656e-02,3.316696043140444e-02
4.700000000000000e-01,1.681268245510692e-02,3.390803120154962e-02
4.800000000000000e-01,1.717746965966205e-02,3.465000478323232e-02
4.900000000000000e-01,1.754257128702785e-02,3.539288438141597e-02
5.000000000000000e-01,1.790798857754816e-02,3.613667320998992e-02
