delta X,delta width (geo),delta volume (appGeo)
1.800000000000000e-01,-2.149972476713669e-03,-4.295322571777338e-03
1.900000000000000e-01,-2.251312868877586e-03,-4.497557328121737e-03
2.000000000000000e-01,-2.351049362474211e-03,-4.696571291843643e-03
2.100000000000000e-01,-2.449219740226383e-03,-4.892440803116904e-03
2.200000000000000e-01,-2.545860607240602e-03,-5.085239808249820e-03
2.300000000000000e-01,-2.641007436537612e-03,-5.275039952795435e-03
2.400000000000000e-01,-2.734694612486654e-03,-5.461910670349956e-03
2.500000000000000e-01,-2.826955472254977e-03,-5.645919267268318e-03
2.600000000000000e-01,-2.917822345378074e-03,-5.827131003517394e-03
2.700000000000000e-01,-3.007326591548010e-03,-6.005609169868364e-03
2.800000000000000e-01,-3.095498636714544e-03,-6.181415161619075e-03
2.900000000000000e-01,-3.182368007584091e-03,-6.354608549032581e-03
3.000000000000000e-01,-3.267963364602777e-03,-6.525247144653523e-03
3.100000000000000e-01,-3.352312533495660e-03,-6.693387067669310e-03
3.200000000000000e-01,-3.435442535438038e-03,-6.859082805462213e-03
3.300000000000000e-01,-3.517379615929572e-03,-7.022387272496822e-03
3.400000000000000e-01,-3.598149272430184e-03,-7.183351866674292e-03
3.500000000000000e-01,-3.677776280827105e-03,-7.342026523282530e-03
3.600000000000000e-01,-3.756284720780489e-03,-7.498459766657528e-03
3.700000000000000e-01,-3.833698000013208e-03,-7.652698759671561e-03
3.800000000000000e-01,-3.910038877588007e-03,-7.804789351152142e-03
3.900000000000000e-01,-3.985329486223543e-03,-7.954776121333218e-03
4.000000000000000e-01,-4.059591353695491e-03,-8.102702425432318e-03
4.100000000000000e-01,-4.132845423368448e-03,-8.248610435443893e-03
4.200000000000000e-01,-4.205112073893180e-03,-8.392541180232249e-03
4.300000000000000e-01,-4.276411138114611e-03,-8.534534584006992e-03
4.400000000000000e-01,-4.346761921225739e-03,-8.674629503251929e-03
4.500000000000000e-01,-4.416183218200587e-03,-8.812863762185152e-03
4.600000000000000e-01,-4.484693330541134e-03,-8.949274186813905e-03
4.700000000000000e-01,-4.552310082367783e-03,-9.083896637649969e-03
4.800000000000000e-01,-4.619050835884542e-03,-9.216766041145075e-03
4.900000000000000e-01,-4.684932506249573e-03,-9.347916419910951e-03
5.000000000000000e-01,-4.749971575869427e-03,-9.477380921767753e-03
