delta X,delta width (geo),delta volume (appGeo)
2.900000000000000e-01,2.059463692953845e-04,4.119351524976000e-04
3.000000000000000e-01,2.128478981267001e-04,4.257411004808809e-04
3.100000000000000e-01,2.197364768938836e-04,4.395212379069147e-04
3.200000000000000e-01,2.266121420140266e-04,4.532756370911883e-04
3.300000000000000e-01,2.334749297681071e-04,4.670043700782944e-04
3.400000000000000e-01,2.403248762994359e-04,4.807075086441515e-04
3.500000000000000e-01,2.471620176174305e-04,4.943851242977804e-04
3.600000000000000e-01,2.539863895980599e-04,5.080372882819706e-04
3.700000000000000e-01,2.607980279816235e-04,5.216640715743903e-04
3.800000000000000e-01,2.675969683760826e-04,5.352655448893628e-04
3.900000000000000e-01,2.743832462563933e-04,5.488417786780886e-04
4.000000000000000e-01,2.811568969651734e-04,5.623928431306435e-04
4.100000000000000e-01,2.879179557147005e-04,5.759188081786437e-04
4.200000000000000e-01,2.946664575858016e-04,5.894197434923587e-04
4.300000000000000e-01,3.014024375285196e-04,6.028957184862627e-04
4.400000000000000e-01,3.081259303645556e-04,6.163468023177021e-04
4.500000000000000e-01,3.148369707854926e-04,6.297730638888943e-04
4.600000000000000e-01,3.215355933550157e-04,6.431745718475934e-04
4.700000000000000e-01,3.282218325093567e-04,6.565513945901991e-04
4.800000000000000e-01,3.348957225568494e-04,6.699036002586478e-04
4.900000000000000e-01,3.415572976797066e-04,6.832312567466303e-04
5.000000000000000e-01,3.482065919337973e-04,6.965344316975930e-04
