delta X,delta width (cla),delta volume (cla)
-0.5,-0.304609,0.000000000000000e+00
-4.900000000000000e-01,-2.972054745751901e-01,0.000000000000000e+00
-4.800000000000000e-01,-2.898804641448481e-01,0.000000000000000e+00
-4.700000000000000e-01,-2.826314965384664e-01,0.000000000000000e+00
-4.600000000000000e-01,-2.754562110738288e-01,0.000000000000000e+00
-4.500000000000000e-01,-2.683523688349825e-01,0.000000000000000e+00
-4.400000000000000e-01,-2.613178439106254e-01,0.000000000000000e+00
-4.300000000000000e-01,-2.543506154393054e-01,0.000000000000000e+00
-4.200000000000000e-01,-2.474487603711797e-01,0.000000000000000e+00
-4.100000000000000e-01,-2.406104468679114e-01,0.000000000000000e+00
-4.000000000000000e-01,-2.338339282723546e-01,0.000000000000000e+00
-3.900000000000000e-01,-2.271175375882688e-01,0.000000000000000e+00
-3.800000000000000e-01,-2.204596824176489e-01,0.000000000000000e+00
-3.700000000000000e-01,-2.138588403095882e-01,0.000000000000000e+00
-3.600000000000000e-01,-2.073135544800279e-01,0.000000000000000e+00
-3.500000000000000e-01,-2.008224298664661e-01,0.000000000000000e+00
-3.400000000000000e-01,-1.943841294857768e-01,0.000000000000000e+00
-3.300000000000000e-01,-1.879973710668490e-01,0.000000000000000e+00
-3.200000000000000e-01,-1.816609239328558e-01,0.000000000000000e+00
-3.100000000000000e-01,-1.753736061106667e-01,0.000000000000000e+00
-3.000000000000000e-01,-1.691342816473018e-01,0.000000000000000e+00
-2.900000000000000e-01,-1.629418581154173e-01,0.000000000000000e+00
-2.800000000000000e-01,-1.567952842916351e-01,0.000000000000000e+00
-2.700000000000000e-01,-1.506935479931779e-01,0.000000000000000e+00
-2.600000000000000e-01,-1.446356740596928e-01,0.000000000000000e+00
-2.500000000000000e-01,-1.386207224684254e-01,0.000000000000000e+00
-2.400000000000000e-01,-1.326477865720439e-01,0.000000000000000e+00
-2.300000000000000e-01,-1.267159914494157e-01,0.000000000000000e+00
-2.200000000000000e-01,-1.208244923605417e-01,0.000000000000000e+00
-2.100000000000000e-01,-1.149724732976588e-01,0.000000000000000e+00
-2.000000000000000e-01,-1.091591456252383e-01,0.000000000000000e+00
-1.900000000000000e-01,-1.033837468022554e-01,0.000000000000000e+00
-1.800000000000000e-01,-9.764553918068219e-02,0.000000000000000e+00
-1.700000000000000e-01,-9.194380887468434e-02,0.000000000000000e+00
-1.600000000000000e-01,-8.627786469546272e-02,0.000000000000000e+00
-1.500000000000000e-01,-8.064703714711541e-02,0.000000000000000e+00
-1.400000000000000e-01,-7.505067747926908e-02,0.000000000000000e+00
-1.300000000000000e-01,-6.948815679258469e-02,0.000000000000000e+00
-1.200000000000000e-01,-6.395886519355110e-02,0.000000000000000e+00
-1.100000000000000e-01,-5.846221099526561e-02,0.000000000000000e+00
-1.000000000000000e-01,-5.299761996116770e-02,0.000000000000000e+00
-9.000000000000000e-02,-4.756453458891341e-02,0.000000000000000e+00
-8.000000000000000e-02,-4.216241343180815e-02,0.000000000000000e+00
-7.000000000000001e-02,-3.679073045540648e-02,0.000000000000000e+00
-6.000000000000000e-02,-3.144897442705430e-02,0.000000000000000e+00
-5.000000000000000e-02,-2.613664833633955e-02,0.000000000000000e+00
-4.000000000000000e-02,-2.085326884453620e-02,0.000000000000000e+00
-3.000000000000000e-02,-1.559836576129037e-02,0.000000000000000e+00
-2.000000000000000e-02,-1.037148154690160e-02,0.000000000000000e+00
-1.000000000000000e-02,-5.172170838685597e-03,0.000000000000000e+00
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000000e-02,5.145453309385317e-03,0.000000000000000e+00
2.000000000000000e-02,1.026460054279843e-02,0.000000000000000e+00
3.000000000000000e-02,1.535784265720319e-02,0.000000000000000e+00
4.000000000000000e-02,2.042557048583094e-02,0.000000000000000e+00
5.000000000000000e-02,2.546816509390415e-02,0.000000000000000e+00
6.000000000000000e-02,3.048599811838426e-02,0.000000000000000e+00
7.000000000000001e-02,3.547943209261595e-02,0.000000000000000e+00
8.000000000000000e-02,4.044882075668244e-02,0.000000000000000e+00
9.000000000000000e-02,4.539450935423783e-02,0.000000000000000e+00
1.000000000000000e-01,5.031683491653016e-02,0.000000000000000e+00
1.100000000000000e-01,5.521612653428920e-02,0.000000000000000e+00
1.200000000000000e-01,6.009270561810798e-02,0.000000000000000e+00
1.300000000000000e-01,6.494688614790967e-02,0.000000000000000e+00
1.400000000000000e-01,6.977897491205542e-02,0.000000000000000e+00
1.500000000000000e-01,7.458927173661634e-02,0.000000000000000e+00
1.600000000000000e-01,7.937806970530392e-02,0.000000000000000e+00
1.700000000000000e-01,8.414565537051555e-02,0.000000000000000e+00
1.800000000000000e-01,8.889230895593636e-02,0.000000000000000e+00
1.900000000000000e-01,9.361830455110720e-02,0.000000000000000e+00
2.000000000000000e-01,9.832391029834331e-02,0.000000000000000e+00
2.100000000000000e-01,1.030093885723733e-01,0.000000000000000e+00
2.200000000000000e-01,1.076749961530370e-01,0.000000000000000e+00
2.300000000000000e-01,1.123209843913773e-01,0.000000000000000e+00
2.400000000000000e-01,1.169475993694222e-01,0.000000000000000e+00
2.500000000000000e-01,1.215550820539586e-01,0.000000000000000e+00
2.600000000000000e-01,1.261436684445627e-01,0.000000000000000e+00
2.700000000000000e-01,1.307135897161591e-01,0.000000000000000e+00
2.800000000000000e-01,1.352650723563427e-01,0.000000000000000e+00
2.900000000000000e-01,1.397983382977059e-01,0.000000000000000e+00
3.000000000000000e-01,1.443136050453873e-01,0.000000000000000e+00
3.100000000000000e-01,1.488110858000538e-01,0.000000000000000e+00
3.200000000000000e-01,1.532909895765147e-01,0.000000000000000e+00
3.300000000000000e-01,1.577535213181542e-01,0.000000000000000e+00
3.400000000000000e-01,1.621988820073663e-01,0.000000000000000e+00
3.500000000000000e-01,1.666272687721548e-01,0.000000000000000e+00
3.600000000000000e-01,1.710388749890677e-01,0.000000000000000e+00
3.700000000000000e-01,1.754338903826145e-01,0.000000000000000e+00
3.800000000000000e-01,1.798125011213136e-01,0.000000000000000e+00
3.900000000000000e-01,1.841748899105116e-01,0.000000000000000e+00
4.000000000000000e-01,1.885212360820969e-01,0.000000000000000e+00
4.100000000000000e-01,1.928517156812515e-01,0.000000000000000e+00
4.200000000000000e-01,1.971665015503388e-01,0.000000000000000e+00
4.300000000000000e-01,2.014657634100603e-01,0.000000000000000e+00
4.400000000000000e-01,2.057496679379760e-01,0.000000000000000e+00
4.500000000000000e-01,2.100183788445042e-01,0.000000000000000e+00
4.600000000000000e-01,2.142720569464893e-01,0.000000000000000e+00
4.700000000000000e-01,2.185108602384369e-01,0.000000000000000e+00
4.800000000000000e-01,2.227349439615069e-01,0.000000000000000e+00
4.900000000000000e-01,2.269444606703492e-01,0.000000000000000e+00
5.000000000000000e-01,2.311395602978612e-01,0.000000000000000e+00
