delta X,delta width (geo),delta volume (geo)
-6.000000000000000e-02,-6.724755229427171e-03,-1.340428812595873e-02
-5.000000000000000e-02,-5.603962691189235e-03,-1.117652098453437e-02
-4.000000000000000e-02,-4.483170152951632e-03,-8.946241491282980e-03
-3.000000000000000e-02,-3.362377614713474e-03,-6.713449646203240e-03
-2.000000000000000e-02,-2.241585076475539e-03,-4.478145449296256e-03
-1.000000000000000e-02,-1.120792538237603e-03,-2.240328900561583e-03
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000000e-02,1.120792538237714e-03,2.242841252389161e-03
2.000000000000000e-02,2.241585076475872e-03,4.488194856606897e-03
3.000000000000000e-02,3.362377614713807e-03,6.736060812651434e-03
4.000000000000000e-02,4.483170152951521e-03,8.986439120523437e-03
5.000000000000000e-02,5.603962691189457e-03,1.123932978022291e-02
6.000000000000000e-02,6.724755229427393e-03,1.349473279175073e-02
7.000000000000001e-02,7.845547767665328e-03,1.575264815510558e-02
8.000000000000000e-02,8.966340305903264e-03,1.801307587028766e-02
9.000000000000000e-02,1.008713284414120e-02,2.027601593729766e-02
1.000000000000000e-01,1.120792538237891e-02,2.254146835613469e-02
1.100000000000000e-01,1.232871792061707e-02,2.480943312680006e-02
1.200000000000000e-01,1.344951045885479e-02,2.707991024929246e-02
1.300000000000000e-01,1.457030299709272e-02,2.935289972361255e-02
1.400000000000000e-01,1.569109553533066e-02,3.162840154976010e-02
1.500000000000000e-01,1.681188807356837e-02,3.390641572773490e-02
1.600000000000000e-01,1.793268061180631e-02,3.618694225753782e-02
1.700000000000000e-01,1.905347315004424e-02,3.846998113916800e-02
1.800000000000000e-01,2.017426568828218e-02,4.075553237262586e-02
1.900000000000000e-01,2.129505822652011e-02,4.304359595791074e-02
2.000000000000000e-01,2.241585076475805e-02,4.533417189502353e-02
2.100000000000000e-01,2.353664330299599e-02,4.762726018396402e-02
2.200000000000000e-01,2.465743584123392e-02,4.992286082473196e-02
2.300000000000000e-01,2.577822837947163e-02,5.222097381732738e-02
2.400000000000000e-01,2.689902091770935e-02,5.452159916175026e-02
2.500000000000000e-01,2.801981345594728e-02,5.682473685800082e-02
2.600000000000000e-01,2.914060599418522e-02,5.913038690607886e-02
2.700000000000000e-01,3.026139853242316e-02,6.143854930598414e-02
2.800000000000000e-01,3.138219107066109e-02,6.374922405771732e-02
2.900000000000000e-01,3.250298360889903e-02,6.606241116127820e-02
3.000000000000000e-01,3.362377614713696e-02,6.837811061666654e-02
3.100000000000000e-01,3.474456868537490e-02,7.069632242388235e-02
3.200000000000000e-01,3.586536122361261e-02,7.301704658292540e-02
3.300000000000000e-01,3.698615376185055e-02,7.534028309379637e-02
3.400000000000000e-01,3.810694630008848e-02,7.766603195649480e-02
3.500000000000000e-01,3.922773883832620e-02,7.999429317102025e-02
3.600000000000000e-01,4.034853137656413e-02,8.232506673737383e-02
3.700000000000000e-01,4.146932391480207e-02,8.465835265555488e-02
3.800000000000000e-01,4.259011645304001e-02,8.699415092556340e-02
3.900000000000000e-01,4.371090899127816e-02,8.933246154740004e-02
4.000000000000000e-01,4.483170152951588e-02,9.167328452106305e-02
4.100000000000000e-01,4.595249406775381e-02,9.401661984655441e-02
4.200000000000000e-01,4.707328660599175e-02,9.636246752387301e-02
4.300000000000000e-01,4.819407914422946e-02,9.871082755301885e-02
4.400000000000000e-01,4.931487168246762e-02,1.010616999339931e-01
4.500000000000000e-01,5.043566422070533e-02,1.034150846667941e-01
4.600000000000000e-01,5.155645675894305e-02,1.057709817514230e-01
4.700000000000000e-01,5.267724929718076e-02,1.081293911878791e-01
4.800000000000000e-01,5.379804183541870e-02,1.104903129761630e-01
4.900000000000000e-01,5.491883437365663e-02,1.128537471162745e-01
5.000000000000000e-01,5.603962691189457e-02,1.152196936082133e-01
