delta X,delta width (cla),delta volume (cla)
3.900000000000000e-01,1.071834521075368e-01,2.258551966207618e-01
4.000000000000000e-01,1.097518026215041e-01,2.315490634216772e-01
4.100000000000000e-01,1.123124903027417e-01,2.372390760834866e-01
4.200000000000000e-01,1.148655937563352e-01,2.429252921416649e-01
4.300000000000000e-01,1.174111901787287e-01,2.486077679366432e-01
4.400000000000000e-01,1.199493553933344e-01,2.542865586459446e-01
4.500000000000000e-01,1.224801638849800e-01,2.599617183152507e-01
4.600000000000000e-01,1.250036888332637e-01,2.656332998884505e-01
4.700000000000000e-01,1.275200021448402e-01,2.713013552366998e-01
4.800000000000000e-01,1.300291744846858e-01,2.769659351865403e-01
4.900000000000000e-01,1.325312753063821e-01,2.826270895471004e-01
5.000000000000000e-01,1.350263728814565e-01,2.882848671364349e-01
