delta X,delta width (geo),delta volume (appGeo)
-1.000000000000000e-02,2.838396154100531e-03,-4.371999687080574e-03
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000000e-02,-2.794241313580526e-03,4.363518408930789e-03
2.000000000000000e-02,-5.545453060591177e-03,8.718642847033609e-03
3.000000000000000e-02,-8.254721138976184e-03,1.306545908742307e-02
4.000000000000000e-02,-1.092309381286372e-02,1.740405140682544e-02
5.000000000000000e-02,-1.355158336190077e-02,2.173450262220311e-02
6.000000000000000e-02,-1.614116764351015e-02,2.605689412622758e-02
7.000000000000001e-02,-1.869279157342618e-02,3.037130592165194e-02
8.000000000000000e-02,-2.120736852950167e-02,3.467781665461778e-02
9.000000000000000e-02,-2.368578168342816e-02,3.897650364693761e-02
1.000000000000000e-01,-2.612888526467994e-02,4.326744292739626e-02
1.100000000000000e-01,-2.853750576071956e-02,4.755070926210037e-02
1.200000000000000e-01,-3.091244305720597e-02,5.182637618391528e-02
1.300000000000000e-01,-3.325447152171124e-02,5.609451602102511e-02
1.400000000000000e-01,-3.556434103421291e-02,6.035519992464011e-02
1.500000000000000e-01,-3.784277796741065e-02,6.460849789588985e-02
1.600000000000000e-01,-4.009048611972388e-02,6.885447881192697e-02
1.700000000000000e-01,-4.230814760363144e-02,7.309321045127315e-02
1.800000000000000e-01,-4.449642369185658e-02,7.732475951842899e-02
1.900000000000000e-01,-4.665595562372471e-02,8.154919166777863e-02
2.000000000000000e-01,-4.878736537389095e-02,8.576657152681211e-02
2.100000000000000e-01,-5.089125638548264e-02,8.997696271868794e-02
2.200000000000000e-01,-5.296821426958542e-02,9.418042788416003e-02
2.300000000000000e-01,-5.501880747287158e-02,9.837702870289222e-02
2.400000000000000e-01,-5.704358791507391e-02,1.025668259141752e-01
2.500000000000000e-01,-5.904309159788856e-02,1.067498793370745e-01
2.600000000000000e-01,-6.101783918680548e-02,1.109262478900237e-01
2.700000000000000e-01,-6.296833656727641e-02,1.150959896098809e-01
2.800000000000000e-01,-6.489507537653627e-02,1.192591616704688e-01
2.900000000000000e-01,-6.679853351232934e-02,1.234158204006133e-01
3.000000000000000e-01,-6.867917561970882e-02,1.275660213017007e-01
