delta X,delta width (cla),delta volume (cla)
2.500000000000000e-01,-6.191456134400453e-02,1.000053627730138e-01
2.600000000000000e-01,-6.398347878940647e-02,1.039199292537680e-01
2.700000000000000e-01,-6.602685407687203e-02,1.078284133780409e-01
2.800000000000000e-01,-6.804520560042893e-02,1.117308656695635e-01
2.900000000000000e-01,-7.003903727249339e-02,1.156273359342210e-01
3.000000000000000e-01,-7.200883903646416e-02,1.195178732743865e-01
3.100000000000000e-01,-7.395508735741840e-02,1.234025261028802e-01
3.200000000000000e-01,-7.587824569200396e-02,1.272813421565802e-01
3.300000000000000e-01,-7.777876493855473e-02,1.311543685096821e-01
3.400000000000000e-01,-7.965708386840609e-02,1.350216515866320e-01
3.500000000000000e-01,-8.151362953932639e-02,1.388832371747291e-01
3.600000000000000e-01,-8.334881769193403e-02,1.427391704364138e-01
3.700000000000000e-01,-8.516305312991179e-02,1.465894959212606e-01
3.800000000000000e-01,-8.695673008480198e-02,1.504342575776629e-01
3.900000000000000e-01,-8.873023256610435e-02,1.542734987642462e-01
4.000000000000000e-01,-9.048393469737870e-02,1.581072622609865e-01
4.100000000000000e-01,-9.221820103899647e-02,1.619355902800748e-01
4.200000000000000e-01,-9.393338689816810e-02,1.657585244765107e-01
4.300000000000000e-01,-9.562983862683250e-02,1.695761059584440e-01
4.400000000000000e-01,-9.730789390795891e-02,1.733883752972736e-01
4.500000000000000e-01,-9.896788203079676e-02,1.771953725374986e-01
4.600000000000000e-01,-1.006101241555633e-01,1.809971372063477e-01
4.700000000000000e-01,-1.022349335680520e-01,1.847937083231730e-01
4.800000000000000e-01,-1.038426159246020e-01,1.885851244086332e-01
4.900000000000000e-01,-1.054334694878639e-01,1.923714234936551e-01
5.000000000000000e-01,-1.070077853537593e-01,1.961526431281961e-01
