delta X,delta width (geo),delta volume (geo)
-6.000000000000000e-02,-5.327524477057266e-02,-1.037122378357810e-01
-5.000000000000000e-02,-4.439603730881037e-02,-8.682106648889565e-02
-4.000000000000000e-02,-3.551682984704840e-02,-6.977221449171267e-02
-3.000000000000000e-02,-2.663762238528622e-02,-5.256568184423138e-02
-2.000000000000000e-02,-1.775841492352426e-02,-3.520146854645245e-02
-1.000000000000000e-02,-8.879207461761962e-03,-1.767957459837499e-02
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000000e-02,8.879207461762295e-03,1.783725524867363e-02
2.000000000000000e-02,1.775841492352459e-02,3.583219114764513e-02
3.000000000000000e-02,2.663762238528644e-02,5.398480769691361e-02
4.000000000000000e-02,3.551682984704851e-02,7.229510489648128e-02
5.000000000000000e-02,4.439603730881081e-02,9.076308274634681e-02
6.000000000000000e-02,5.327524477057288e-02,1.093887412465100e-01
7.000000000000001e-02,6.215445223233496e-02,1.281720803969715e-01
8.000000000000000e-02,7.103365969409703e-02,1.471131001977308e-01
9.000000000000000e-02,7.991286715585910e-02,1.662118006487883e-01
1.000000000000000e-01,8.879207461762140e-02,1.854681817501436e-01
1.100000000000000e-01,9.767128207938347e-02,2.048822435017974e-01
1.200000000000000e-01,1.065504895411458e-01,2.244539859037489e-01
1.300000000000000e-01,1.154296970029074e-01,2.441834089559975e-01
1.400000000000000e-01,1.243089044646697e-01,2.640705126585456e-01
1.500000000000000e-01,1.331881119264318e-01,2.841152970113909e-01
1.600000000000000e-01,1.420673193881938e-01,3.043177620145345e-01
1.700000000000000e-01,1.509465268499559e-01,3.246779076679762e-01
1.800000000000000e-01,1.598257343117180e-01,3.451957339717158e-01
1.900000000000000e-01,1.687049417734801e-01,3.658712409257536e-01
2.000000000000000e-01,1.775841492352424e-01,3.867044285300891e-01
2.100000000000000e-01,1.864633566970046e-01,4.076952967847232e-01
2.200000000000000e-01,1.953425641587667e-01,4.288438456896551e-01
2.300000000000000e-01,2.042217716205286e-01,4.501500752448844e-01
2.400000000000000e-01,2.131009790822906e-01,4.716139854504122e-01
2.500000000000000e-01,2.219801865440529e-01,4.932355763062384e-01
2.600000000000000e-01,2.308593940058150e-01,5.150148478123617e-01
2.700000000000000e-01,2.397386014675773e-01,5.369517999687841e-01
2.800000000000000e-01,2.486178089293392e-01,5.590464327755038e-01
2.900000000000000e-01,2.574970163911015e-01,5.812987462325219e-01
3.000000000000000e-01,2.663762238528633e-01,6.037087403398376e-01
3.100000000000000e-01,2.752554313146256e-01,6.262764150974518e-01
3.200000000000000e-01,2.841346387763879e-01,6.490017705053639e-01
3.300000000000000e-01,2.930138462381497e-01,6.718848065635732e-01
3.400000000000000e-01,3.018930536999118e-01,6.949255232720815e-01
3.500000000000000e-01,3.107722611616741e-01,7.181239206308878e-01
3.600000000000000e-01,3.196514686234360e-01,7.414799986399911e-01
3.700000000000000e-01,3.285306760851983e-01,7.649937572993939e-01
3.800000000000000e-01,3.374098835469603e-01,7.886651966090936e-01
3.900000000000000e-01,3.462890910087226e-01,8.124943165690923e-01
4.000000000000000e-01,3.551682984704845e-01,8.364811171793878e-01
4.100000000000000e-01,3.640475059322468e-01,8.606255984399827e-01
4.200000000000000e-01,3.729267133940088e-01,8.849277603508747e-01
4.300000000000000e-01,3.818059208557707e-01,9.093876029120642e-01
4.400000000000000e-01,3.906851283175330e-01,9.340051261235529e-01
4.500000000000000e-01,3.995643357792951e-01,9.587803299853392e-01
4.600000000000000e-01,4.084435432410571e-01,9.837132144974234e-01
4.700000000000000e-01,4.173227507028192e-01,1.008803779659806e+00
4.800000000000000e-01,4.262019581645815e-01,1.034052025472486e+00
4.900000000000000e-01,4.350811656263436e-01,1.059457951935465e+00
5.000000000000000e-01,4.439603730881054e-01,1.085021559048740e+00
