delta X,delta width (tvoidFree),delta volume (tvoidFree)
-2.000000000000000e-01,-6.299484716169579e-02,-6.299484716169579e-02
-1.900000000000000e-01,-5.934297196391614e-02,-5.934297196391614e-02
-1.800000000000000e-01,-5.569109676613815e-02,-5.569109676613815e-02
-1.700000000000000e-01,-5.203922156835850e-02,-5.203922156835850e-02
-1.600000000000000e-01,-4.930031517002376e-02,-4.930031517002376e-02
-1.500000000000000e-01,-4.656140877168902e-02,-4.656140877168913e-02
-1.400000000000000e-01,-4.290953357390959e-02,-4.290953357390970e-02
-1.300000000000000e-01,-3.925765837613016e-02,-3.925765837613027e-02
-1.200000000000000e-01,-3.743172077724033e-02,-3.743172077724033e-02
-1.100000000000000e-01,-3.377984557946068e-02,-3.377984557946068e-02
-1.000000000000000e-01,-3.012797038168102e-02,-3.012797038168102e-02
-9.000000000000000e-02,-2.738906398334651e-02,-2.738906398334651e-02
-8.000000000000000e-02,-2.465015758501199e-02,-2.465015758501210e-02
-7.000000000000001e-02,-2.099828238723234e-02,-2.099828238723234e-02
-6.000000000000000e-02,-1.734640718945268e-02,-1.734640718945279e-02
-5.000000000000000e-02,-1.552046959056286e-02,-1.552046959056286e-02
-4.000000000000000e-02,-1.186859439278365e-02,-1.186859439278365e-02
-3.000000000000000e-02,-8.216719195003996e-03,-8.216719195003996e-03
-2.000000000000000e-02,-6.390781596114170e-03,-6.390781596114170e-03
-1.000000000000000e-02,-2.738906398334517e-03,-2.738906398334628e-03
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000000e-02,2.738906398334517e-03,2.738906398334517e-03
2.000000000000000e-02,6.390781596114170e-03,6.390781596114170e-03
3.000000000000000e-02,8.216719195003996e-03,8.216719195003996e-03
4.000000000000000e-02,1.186859439278365e-02,1.186859439278365e-02
5.000000000000000e-02,1.460750079111817e-02,1.460750079111817e-02
6.000000000000000e-02,1.734640718945268e-02,1.734640718945268e-02
7.000000000000001e-02,2.099828238723234e-02,2.099828238723234e-02
8.000000000000000e-02,2.282421998612216e-02,2.282421998612216e-02
9.000000000000000e-02,2.647609518390182e-02,2.647609518390182e-02
1.000000000000000e-01,2.830203278279164e-02,2.830203278279164e-02
1.100000000000000e-01,3.195390798057085e-02,3.195390798057085e-02
1.200000000000000e-01,3.560578317835050e-02,3.560578317835050e-02
1.300000000000000e-01,3.743172077724033e-02,3.743172077724033e-02
1.400000000000000e-01,4.108359597501998e-02,4.108359597501998e-02
1.500000000000000e-01,4.290953357390981e-02,4.290953357390981e-02
1.600000000000000e-01,4.656140877168902e-02,4.656140877168902e-02
1.700000000000000e-01,4.838734637057884e-02,4.838734637057884e-02
1.800000000000000e-01,5.203922156835850e-02,5.203922156835850e-02
1.900000000000000e-01,5.386515916724832e-02,5.386515916724832e-02
