delta X,delta width (geo),delta volume (appGeo)
-2.200000000000000e-01,-6.528741088308632e-02,-1.263123757463559e-01
-2.100000000000000e-01,-6.215648917794625e-02,-1.204495492089646e-01
-2.000000000000000e-01,-5.904309159788834e-02,-1.146000965303404e-01
-1.900000000000000e-01,-5.594687702344414e-02,-1.087637009982121e-01
-1.800000000000000e-01,-5.286751546811308e-02,-1.029400567444549e-01
-1.700000000000000e-01,-4.980468757947287e-02,-9.712886825405687e-02
-1.600000000000000e-01,-4.675808416844596e-02,-9.132984990178883e-02
-1.500000000000000e-01,-4.372740576481859e-02,-8.554272551471620e-02
-1.400000000000000e-01,-4.071236219725138e-02,-7.976722795882285e-02
-1.300000000000000e-01,-3.771267219616814e-02,-7.400309874816091e-02
-1.200000000000000e-01,-3.472806301802089e-02,-6.825008767505836e-02
-1.100000000000000e-01,-3.175827008955279e-02,-6.250795246002472e-02
-1.000000000000000e-01,-2.880303667078088e-02,-5.677645842010381e-02
-9.000000000000000e-02,-2.586211353551504e-02,-5.105537815450634e-02
-8.000000000000000e-02,-2.293525866831592e-02,-4.534449124644957e-02
-7.000000000000001e-02,-2.002223697688033e-02,-3.964358398020240e-02
-6.000000000000000e-02,-1.712282001890242e-02,-3.395244907240569e-02
-5.000000000000000e-02,-1.423678574254617e-02,-2.827088541681344e-02
-4.000000000000000e-02,-1.136391823970095e-02,-2.259869784164370e-02
-3.000000000000000e-02,-8.504007511277001e-03,-1.693569687880248e-02
-2.000000000000000e-02,-5.656849243822037e-03,-1.128169854427685e-02
-1.000000000000000e-02,-2.822244596812684e-03,-5.636524129061016e-03
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000000e-02,2.810073039757777e-03,5.628042590003934e-03
2.000000000000000e-02,5.608158122711648e-03,1.124776768295277e-02
3.000000000000000e-02,8.394434131987705e-03,1.685933478837209e-02
4.000000000000000e-02,1.116907540136425e-02,2.246289904804977e-02
5.000000000000000e-02,1.393225187550096e-02,2.805861139332388e-02
6.000000000000000e-02,1.668412926302842e-02,3.364661869532237e-02
7.000000000000001e-02,1.942486918288022e-02,3.922706390853237e-02
8.000000000000000e-02,2.215462930422474e-02,4.480008620805709e-02
9.000000000000000e-02,2.487356348033742e-02,5.036582112088528e-02
1.000000000000000e-01,2.758182187672675e-02,5.592440065149273e-02
1.100000000000000e-01,3.027955109381120e-02,6.147595340206435e-02
1.200000000000000e-01,3.296689428442767e-02,6.702060468761561e-02
1.300000000000000e-01,3.564399126643325e-02,7.255847664626769e-02
1.400000000000000e-01,3.831097863064414e-02,7.808968834492580e-02
1.500000000000000e-01,4.096798984434957e-02,8.361435588058597e-02
1.600000000000000e-01,4.361515535061544e-02,8.913259247748861e-02
1.700000000000000e-01,4.625260266358389e-02,9.464450858032269e-02
1.800000000000000e-01,4.888045645996764e-02,1.001502119436692e-01
1.900000000000000e-01,5.149883866691551e-02,1.056498077178716e-01
2.000000000000000e-01,5.410786854643024e-02,1.111433985314978e-01
2.100000000000000e-01,5.670766277649375e-02,1.166310845705598e-01
2.200000000000000e-01,5.929833552906216e-02,1.221129636546414e-01
2.300000000000000e-01,6.187999854507042e-02,1.275891313100783e-01
2.400000000000000e-01,6.445276120658772e-02,1.330596808403286e-01
2.500000000000000e-01,6.701673060625479e-02,1.385247033936607e-01
2.600000000000000e-01,6.957201161412363e-02,1.439842880282829e-01
2.700000000000000e-01,7.211870694202016e-02,1.494385217750289e-01
2.800000000000000e-01,7.465691720553780e-02,1.548874896977097e-01
2.900000000000000e-01,7.718674098376965e-02,1.603312749512347e-01
3.000000000000000e-01,7.970827487687737e-02,1.657699588376027e-01
3.100000000000000e-01,8.222161356159097e-02,1.712036208598533e-01
3.200000000000000e-01,8.472684984472934e-02,1.766323387740700e-01
3.300000000000000e-01,8.722407471483073e-02,1.820561886395196e-01
3.400000000000000e-01,8.971337739196517e-02,1.874752448670030e-01
3.500000000000000e-01,9.219484537581435e-02,1.928895802654991e-01
3.600000000000000e-01,9.466856449209016e-02,1.982992660871732e-01
3.700000000000000e-01,9.713461893735476e-02,2.037043720708140e-01
3.800000000000000e-01,9.959309132231753e-02,2.091049664837703e-01
3.900000000000000e-01,1.020440627136672e-01,2.145011161624450e-01
4.000000000000000e-01,1.044876126744969e-01,2.198928865514094e-01
4.100000000000000e-01,1.069238193033846e-01,2.252803417411917e-01
4.200000000000000e-01,1.093527592721766e-01,2.306635445047915e-01
4.300000000000000e-01,1.117745078625345e-01,2.360425563329807e-01
4.400000000000000e-01,1.141891390012839e-01,2.414174374684219e-01
4.500000000000000e-01,1.165967252946221e-01,2.467882469386733e-01
4.600000000000000e-01,1.189973380612233e-01,2.521550425881034e-01
4.700000000000000e-01,1.213910473642881e-01,2.575178811087744e-01
4.800000000000000e-01,1.237779220425719e-01,2.628768180703205e-01
4.900000000000000e-01,1.261580297404417e-01,2.682319079488733e-01
5.000000000000000e-01,1.285314369369863e-01,2.735832041550594e-01
