delta X,delta width (hydro),delta volume (hydro)
9.000000000000000e-02,-7.438169522231242e-02,5.772325233559528e-04
1.000000000000000e-01,-8.196886510277734e-02,6.361342363909728e-04
1.100000000000000e-01,-8.943266058082833e-02,6.940821547010145e-04
1.200000000000000e-01,-9.677606674610884e-02,7.510992595345378e-04
1.300000000000000e-01,-1.040019731555368e-01,8.072077997147709e-04
1.400000000000000e-01,-1.111131776247691e-01,8.624293205996558e-04
1.500000000000000e-01,-1.181123898405350e-01,9.167846916542377e-04
1.600000000000000e-01,-1.250022348035973e-01,9.702941327587311e-04
1.700000000000000e-01,-1.317852561115581e-01,1.022977239289347e-03
1.800000000000000e-01,-1.384639190901412e-01,1.074853006028498e-03
1.900000000000000e-01,-1.450406137810071e-01,1.125939850020519e-03
2.000000000000000e-01,-1.515176577937702e-01,1.176255632354239e-03
2.100000000000000e-01,-1.578972990293090e-01,1.225817678999208e-03
2.200000000000000e-01,-1.641817182811498e-01,1.274642800673575e-03
2.300000000000000e-01,-1.703730317211719e-01,1.322747311891970e-03
2.400000000000000e-01,-1.764732932756888e-01,1.370147049106540e-03
2.500000000000000e-01,-1.824844968974185e-01,1.416857388101045e-03
2.600000000000000e-01,-1.884085787386570e-01,1.462893260635534e-03
2.700000000000000e-01,-1.942474192306627e-01,1.508269170337861e-03
2.800000000000000e-01,-2.000028450738861e-01,1.552999207951267e-03
2.900000000000000e-01,-2.056766311435110e-01,1.597097065918707e-03
3.000000000000000e-01,-2.112705023144666e-01,1.640576052359011e-03
3.100000000000000e-01,-2.167861352098559e-01,1.683449104457946e-03
3.200000000000000e-01,-2.222251598765268e-01,1.725728801301507e-03
3.300000000000000e-01,-2.275891613912991e-01,1.767427376181852e-03
3.400000000000000e-01,-2.328796814011768e-01,1.808556728397637e-03
3.500000000000000e-01,-2.380982196006871e-01,1.849128434571856e-03
3.600000000000000e-01,-2.432462351493164e-01,1.889153759523143e-03
3.700000000000000e-01,-2.483251480318714e-01,1.928643666684104e-03
3.800000000000000e-01,-2.533363403644026e-01,1.967608828128853e-03
3.900000000000000e-01,-2.582811576482599e-01,2.006059634166224e-03
4.000000000000000e-01,-2.631609099746097e-01,2.044006202596371e-03
4.100000000000000e-01,-2.679768731817316e-01,2.081458387578561e-03
4.200000000000000e-01,-2.727302899672147e-01,2.118425788162126e-03
4.300000000000000e-01,-2.774223709570950e-01,2.154917756493901e-03
4.400000000000000e-01,-2.820542957338744e-01,2.190943405697032e-03
4.500000000000000e-01,-2.866272138252378e-01,2.226511617471560e-03
4.600000000000000e-01,-2.911422456552323e-01,2.261631049384594e-03
4.700000000000000e-01,-2.956004834595466e-01,2.296310141892910e-03
4.800000000000000e-01,-3.000029921664492e-01,2.330557125125532e-03
4.900000000000000e-01,-3.043508102449271e-01,2.364380025364321e-03
5.000000000000000e-01,-3.086449505213691e-01,2.397786671344271e-03
