delta X,delta width (geo),delta volume (geo)
1.500000000000000e-01,-3.651247211120778e-02,-7.169178360274397e-02
1.600000000000000e-01,-3.893400742313879e-02,-7.635215791225258e-02
1.700000000000000e-01,-4.135253813270068e-02,-8.099504385538503e-02
1.800000000000000e-01,-4.376806423989366e-02,-8.562048503247999e-02
1.900000000000000e-01,-4.618058574471806e-02,-9.022852498971079e-02
2.000000000000000e-01,-4.859010264717289e-02,-9.481920721908321e-02
2.100000000000000e-01,-5.099661494725904e-02,-9.939257515843924e-02
2.200000000000000e-01,-5.340012264497662e-02,-1.039486721914546e-01
2.300000000000000e-01,-5.580062574032485e-02,-1.084875416476380e-01
2.400000000000000e-01,-5.819812423330428e-02,-1.130092268023336e-01
2.500000000000000e-01,-6.059261812391514e-02,-1.175137708767197e-01
2.600000000000000e-01,-6.298410741215654e-02,-1.220012170378072e-01
2.700000000000000e-01,-6.537259209802915e-02,-1.264716083984432e-01
2.800000000000000e-01,-6.775807218153318e-02,-1.309249880173086e-01
2.900000000000000e-01,-7.014054766266808e-02,-1.353613988989173e-01
3.000000000000000e-01,-7.252001854143419e-02,-1.397808839936184e-01
3.100000000000000e-01,-7.489648481783107e-02,-1.441834861975947e-01
3.200000000000000e-01,-7.726994649185914e-02,-1.485692483528636e-01
3.300000000000000e-01,-7.964040356351831e-02,-1.529382132472766e-01
3.400000000000000e-01,-8.200785603280880e-02,-1.572904236145197e-01
3.500000000000000e-01,-8.437230389973005e-02,-1.616259221341116e-01
3.600000000000000e-01,-8.673374716428228e-02,-1.659447514314071e-01
3.700000000000000e-01,-8.909218582646583e-02,-1.702469540775943e-01
3.800000000000000e-01,-9.144761988628036e-02,-1.745325725896952e-01
3.900000000000000e-01,-9.380004934372588e-02,-1.788016494305664e-01
4.000000000000000e-01,-9.614947419880271e-02,-1.830542270088993e-01
4.100000000000000e-01,-9.849589445151052e-02,-1.872903476792181e-01
4.200000000000000e-01,-1.008393101018493e-01,-1.915100537418819e-01
4.300000000000000e-01,-1.031797211498195e-01,-1.957133874430845e-01
4.400000000000000e-01,-1.055171275954206e-01,-1.999003909748529e-01
4.500000000000000e-01,-1.078515294386525e-01,-2.040711064750486e-01
4.600000000000000e-01,-1.101829266795159e-01,-2.082255760273682e-01
4.700000000000000e-01,-1.125113193180101e-01,-2.123638416613410e-01
4.800000000000000e-01,-1.148367073541354e-01,-2.164859453523316e-01
4.900000000000000e-01,-1.171590907878921e-01,-2.205919290215387e-01
5.000000000000000e-01,-1.194784696192794e-01,-2.246818345359939e-01
