delta X,delta width (tvoidFree),delta volume (tvoidFree)
5.000000000000000e-02,-1.369453199167325e-02,-1.369453199167336e-02
6.000000000000000e-02,-1.734640718945268e-02,-1.734640718945279e-02
7.000000000000001e-02,-1.917234478834251e-02,-1.917234478834251e-02
8.000000000000000e-02,-2.099828238723234e-02,-2.099828238723234e-02
9.000000000000000e-02,-2.465015758501199e-02,-2.465015758501210e-02
1.000000000000000e-01,-2.647609518390182e-02,-2.647609518390182e-02
1.100000000000000e-01,-2.830203278279142e-02,-2.830203278279153e-02
1.200000000000000e-01,-3.195390798057085e-02,-3.195390798057096e-02
1.300000000000000e-01,-3.377984557946068e-02,-3.377984557946068e-02
1.400000000000000e-01,-3.560578317835050e-02,-3.560578317835050e-02
1.500000000000000e-01,-3.925765837613016e-02,-3.925765837613027e-02
1.600000000000000e-01,-4.108359597501998e-02,-4.108359597501998e-02
1.700000000000000e-01,-4.290953357390959e-02,-4.290953357390970e-02
1.800000000000000e-01,-4.473547117279919e-02,-4.473547117279919e-02
1.900000000000000e-01,-4.838734637057884e-02,-4.838734637057884e-02
2.000000000000000e-01,-5.021328396946867e-02,-5.021328396946867e-02
2.100000000000000e-01,-5.203922156835850e-02,-5.203922156835850e-02
2.200000000000000e-01,-5.386515916724832e-02,-5.386515916724843e-02
2.300000000000000e-01,-5.569109676613815e-02,-5.569109676613815e-02
2.400000000000000e-01,-5.751703436502797e-02,-5.751703436502797e-02
2.500000000000000e-01,-6.116890956280763e-02,-6.116890956280774e-02
2.600000000000000e-01,-6.299484716169745e-02,-6.299484716169745e-02
2.700000000000000e-01,-6.482078476058706e-02,-6.482078476058717e-02
2.800000000000000e-01,-6.664672235947688e-02,-6.664672235947688e-02
2.900000000000000e-01,-6.847265995836660e-02,-6.847265995836660e-02
3.000000000000000e-01,-7.029859755725631e-02,-7.029859755725631e-02
3.100000000000000e-01,-7.212453515614614e-02,-7.212453515614614e-02
3.200000000000000e-01,-7.395047275503597e-02,-7.395047275503597e-02
3.300000000000000e-01,-7.577641035392568e-02,-7.577641035392568e-02
3.400000000000000e-01,-7.760234795281540e-02,-7.760234795281540e-02
3.500000000000000e-01,-7.942828555170522e-02,-7.942828555170534e-02
3.600000000000000e-01,-8.125422315059505e-02,-8.125422315059505e-02
3.700000000000000e-01,-8.308016074948477e-02,-8.308016074948477e-02
3.800000000000000e-01,-8.490609834837448e-02,-8.490609834837448e-02
3.900000000000000e-01,-8.673203594726431e-02,-8.673203594726431e-02
4.000000000000000e-01,-8.855797354615413e-02,-8.855797354615413e-02
4.100000000000000e-01,-9.038391114504396e-02,-9.038391114504407e-02
4.200000000000000e-01,-9.220984874393379e-02,-9.220984874393379e-02
4.300000000000000e-01,-9.403578634282350e-02,-9.403578634282350e-02
4.400000000000000e-01,-9.403578634282350e-02,-9.403578634282350e-02
4.500000000000000e-01,-9.586172394171322e-02,-9.586172394171322e-02
4.600000000000000e-01,-9.768766154060304e-02,-9.768766154060304e-02
4.700000000000000e-01,-9.951359913949287e-02,-9.951359913949287e-02
4.800000000000000e-01,-1.013395367383827e-01,-1.013395367383828e-01
4.900000000000000e-01,-1.031654743372725e-01,-1.031654743372725e-01
5.000000000000000e-01,-1.049914119361622e-01,-1.049914119361622e-01
