time (min),raw light scattering data: detector voltage  (V) detector 1,raw light scattering data: detector voltage  (V) detector 2,raw light scattering data: detector voltage  (V) detector 3,raw light scattering data: detector voltage  (V) detector 4,raw light scattering data: detector voltage  (V) detector 5,raw light scattering data: detector voltage  (V) detector 6,raw light scattering data: detector voltage  (V) detector 7,raw light scattering data: detector voltage  (V) detector 8,raw UV absorbance data: detector voltage  (V) channel 1,raw refractive index data: detector voltage  (V)
29.11467608848315,1.088841658054412,0.1482423670258742,0.1683798384708655,-0.5343195306218396,0.0608289160141932,0.0899553471442372,0.1994163940079592,0.1759200732533387,0.05090546679226143,0.007655986090895546
29.12286587078652,1.026086861929117,0.1404589446024229,0.1643524452452885,-0.5343193615575417,0.06016957874006772,0.08959456876829214,0.1989659615136542,0.1757536529139333,0.05093263255162445,0.007657641154148793
29.13105565308989,1.170780919416417,0.1447648664533103,0.1659548394018804,-0.5343193861135476,0.06024926071944442,0.08942470194519492,0.1985072663083788,0.1754704810891913,0.05094537719512805,0.007658342656456255
29.13924543539326,1.055071734440168,0.1382889236779034,0.159072384389108,-0.5343198172911,0.0597907411691943,0.0891073756961198,0.1977376144557073,0.1749198463234355,0.05089914566029893,0.007655690610689934
29.14743521769663,1.179688132286033,0.1609884155590128,0.1703975824913745,-0.5343201327158295,0.06109604233430319,0.0904705613934005,0.1991295919453054,0.1754247198863856,0.0508666553157613,0.007657640560100578
29.155625,1.443044600411567,0.193278741690996,0.1960177568195361,-0.5343208361291287,0.06350659565583107,0.09198848835962754,0.2022049573538284,0.1772384016972264,0.05088307275896805,0.007661890126735098
29.16381478230337,1.197668814942286,0.1657329235948518,0.1719077739782212,-0.5343203856386746,0.06120802293646097,0.09026354778258419,0.1997358330814453,0.1760426828190175,0.05091659096233667,0.007660253622330561
29.17200456460674,0.9568775554476439,0.1313947620987909,0.1584893734726287,-0.5343190131973831,0.05938957236772942,0.08886905497322019,0.1974757597627166,0.1747484945238742,0.05089304296877408,0.007659349905514317
29.18019434691011,1.00254467585006,0.1323378194846433,0.1609352911677135,-0.5343198220222485,0.05974334119506185,0.0890776934584763,0.1978542934463146,0.1747667153418174,0.05085155247459294,0.007656192327792718
29.18838412921348,0.9867995549341996,0.1314724528875756,0.1619491331658423,-0.5343202693998019,0.06005929730812426,0.08939252994011336,0.1990174391687948,0.1753106058230879,0.05085894961920254,0.007653010809637939
29.19657391151685,0.9156509555916782,0.126758510302931,0.1566295749423824,-0.5343184387764022,0.05924862310769166,0.08868900769662408,0.1977744072550588,0.1749902932812733,0.05087849053710175,0.007654460717093328
29.20476369382023,0.9563227728622991,0.133103385831755,0.1607678530792538,-0.5343169845209752,0.0598053181205677,0.08896503313004334,0.1976922055542225,0.1750117434641587,0.05089527319954287,0.007658318008320754
29.21295347612359,0.9988349373836252,0.134853108436769,0.1620683994171399,-0.5343182105118662,0.06045941697094161,0.09003227262770265,0.1990028895679923,0.1754652407866403,0.05085594414445144,0.007658546251078314
29.22114325842697,0.9433495613163023,0.1287024459044075,0.1570791046748483,-0.5343183802230259,0.05932885789020626,0.0887823351802363,0.1976666818277435,0.1753294185121201,0.05082241819060907,0.007655791608530391
29.22933304073034,1.078046768947583,0.1484339166909368,0.1621362986027134,-0.5343195204572312,0.05978822319939742,0.0891508860448669,0.1981978799761774,0.1755343523567344,0.05085236356029946,0.007658525740753939
29.23752282303371,0.9939119144228668,0.1412039270297458,0.1632181157119365,-0.5343192720173107,0.05976808410896066,0.0890163656566762,0.1981351256315312,0.1752816877488136,0.05088698267381463,0.007655202127260278
29.24571260533708,0.95474283707431,0.1332283493662853,0.1641609739638977,-0.5343195205585831,0.05988619606499447,0.08899700010637787,0.1979081387279422,0.1750227109200256,0.0508748979298922,0.007654283513675022
29.25390238764045,0.9248417075417124,0.1294177441633868,0.1581657315171555,-0.5343205860893125,0.05954532386567433,0.08879263542636644,0.1976440831396958,0.174782146456488,0.05083934216009867,0.007658217767153321
29.26209216994382,0.99985534332437,0.1328867853462601,0.1583604347466535,-0.5343195572752768,0.05958811428036562,0.08877442167727029,0.1979386218817633,0.1750261363762581,0.05085337318362546,0.007657365149755504
29.27028195224719,0.9673881131252016,0.1334060333022209,0.1609669846186277,-0.534319778122519,0.05980792233863981,0.08884677119890448,0.1983804004514045,0.1748793298863668,0.05087976963037855,0.007658934027987611
29.27847173455056,0.930796204328417,0.1327097171028867,0.1600323509906741,-0.5343209436449679,0.05954969996689396,0.08864373810599453,0.1977764432706419,0.1746179030424085,0.05088380511922531,0.007659044637010778
29.28666151685393,0.9765486896935584,0.1385663065562205,0.162311076804369,-0.5343203855173203,0.05994927388079999,0.08906371042477054,0.1980704555587207,0.1749856507247513,0.05084507648168264,0.007657568871573819
29.29485129915731,0.9181695330483579,0.1274654032437731,0.1556723638573701,-0.5343193342116502,0.05902345901488911,0.08826580581445005,0.1971332056113795,0.1743953225117981,0.05081587342584304,0.007657753101896601
29.30304108146067,0.9227414629899075,0.1276443644886429,0.1546913189628427,-0.5343214757029321,0.05897039838665238,0.08812805639857776,0.1969141987498657,0.1742417487511948,0.05085725991435356,0.007658148522358615
29.31123086376405,0.9910024352938716,0.137341330134086,0.160547602617176,-0.5343216708943166,0.06000556848063357,0.088825522471162,0.1978840625777615,0.174554746862517,0.05088709618842581,0.007660221871349261
29.31942064606741,1.162858508083933,0.1626441273764335,0.1754567826676405,-0.534319918745237,0.0610209834603208,0.08993283770945458,0.1995175235201068,0.175036065661909,0.05086591168090597,0.007656788885726058
29.32761042837079,1.116587560434798,0.17090995949218,0.1792999739015912,-0.5343214020577123,0.06096224542624574,0.0903783072703431,0.2001028083760497,0.1753977746027459,0.05082829100137595,0.007655479995387755
29.33580021067416,1.045112910767592,0.1387286405649872,0.1700008033456385,-0.5343203933567149,0.06101454518856739,0.09069273526875757,0.1994258717317537,0.1750933273652489,0.05083573134298081,0.007659312645406623
29.34398999297753,0.9856219801275724,0.1314792691418887,0.1607196995152748,-0.5343177700517517,0.05971172374740866,0.0889697507450558,0.1975681725631815,0.1745231664112457,0.05086088462881232,0.007660132663127939
29.3521797752809,0.9284613020783211,0.1284195671392344,0.1570259725180963,-0.5343203646298684,0.05917546234140504,0.08864609869796819,0.1975285035254828,0.1742841435507391,0.05084807345967754,0.007660829895669953
29.36036955758427,1.11502855446067,0.164008213344963,0.171350832491699,-0.534323130150714,0.06096465767919166,0.09025896123082841,0.1991705304357141,0.1747840832494026,0.05081677008297412,0.007659356138943777
29.36855933988764,1.067427453755102,0.1568089548298987,0.1675636005461882,-0.5343218195640732,0.05982764118602631,0.08953415361705877,0.1989013011436711,0.1745909912138159,0.05078990673936466,0.007657177963502475
29.37674912219101,0.9453318778646245,0.1384114923153349,0.1625613770573534,-0.5343187129714263,0.05944196366081098,0.0889368474365486,0.1982048860414851,0.174233168357389,0.0508220496672378,0.007657947026802937
29.38493890449438,0.9342155742693885,0.1327496221240727,0.1604794499811269,-0.5343178522569354,0.05955489681101113,0.08879255908331739,0.1978785239543069,0.1741122437044769,0.05085529004258395,0.007660018460547452
29.39312868679775,0.9504893615891366,0.1295916491379953,0.1593099754052387,-0.5343183530969961,0.06019052979025835,0.08874842536498447,0.1975837905950603,0.1742231767242324,0.05082894359507743,0.007654917083468542
